title,location,weather
"Shkodër/ Qarkullonte me kallashnikov me vete, arrestohet 56-vjeçari në fshatin Vrakë (EMRI+VIDEO)",Shkodër,"{'temperature': 14.97, 'description': 'broken clouds'}"
"Në punë ditën, në burg natën, Kuvendi me ligj të ri për të dënuarit nën 2.5 vjet",Location not found,Invalid location
Ilir Meta dëshmon mbi 2 orë për lobimin e SHBA-së! Nga 313-ta në SPAK përmes tunelit! Avokati:...,Location not found,Invalid location
"Tiranë/ Shiste lëndë narkotike, arrestohet 28-vjeçari! Kur pa policinë tentoi të shpërbënte...",Tiranë,"{'temperature': 14.51, 'description': 'broken clouds'}"
"Merkato e Superligës/ Dinamo prezanton Jonuzin, Egnatia i merr portierin Laçit dhe pret Xhixhën",Location not found,Invalid location
Vip & Spektakel,Location not found,Invalid location
Receta,Location not found,Invalid location
Life style,Location not found,Invalid location
Shendet,Location not found,Invalid location
OBSH-ja i kërkon Kinës të tregojë të dhënat origjinale për koronavirusin,Location not found,Invalid location
"Tryeza festive, këshilla për diabetikët, personat me tension e kolesterol",Location not found,Invalid location
"Rasti i parë me linë e majmunit në Kosovë, ISHP: Në Shqipëri nuk kemi asnjë rast të dyshuar",Location not found,Invalid location
"2-vjeçari me tumor 10 ditë pa kimio se nuk kishte ilaç në QSUT, Ministria e Shëndetësisë e gjen pas presionit mediatik! Burime: ‘Actinomycin D’ mungonte në treg prej 2006",Location not found,Invalid location
"Denoncimi/ 2-vjeçari me tumor në bark nuk nis dot kimioterapinë, mungon medikamenti ‘Actinomycin D’ në QSUT",Location not found,Invalid location
Lajme te tjera,Location not found,Invalid location
Drejt punes,Location not found,Invalid location
Sociale,Location not found,Invalid location
Foto Galeri,Location not found,Invalid location
Lajme te tjera,Location not found,Invalid location
